,date,home,score,away_team
553,23-10-2022,Toulouse,2 - 2,Strasbourg
554,28-10-2022,Lens,3 - 0,Toulouse
555,06-11-2022,Toulouse,0 - 2,Monaco
556,12-11-2022,Rennes,2 - 1,Toulouse
557,29-12-2022,Marseille,6 - 1,Toulouse
558,01-01-2023,Toulouse,2 - 0,Ajaccio
559,11-01-2023,Auxerre,0 - 5,Toulouse
560,15-01-2023,Toulouse,1 - 1,Brest
561,29-01-2023,Strasbourg,1 - 2,Toulouse
562,01-02-2023,Toulouse,4 - 1,Troyes
563,04-02-2023,Paris SG,2 - 1,Toulouse
564,12-02-2023,Toulouse,3 - 1,Rennes
565,19-02-2023,Toulouse,2 - 3,Marseille
566,26-02-2023,Reims,3 - 0,Toulouse
567,05-03-2023,Toulouse,0 - 1,Clermont
568,12-03-2023,Angers,0 - 2,Toulouse
569,18-03-2023,Toulouse,0 - 2,Lille
570,02-04-2023,Brest,3 - 1,Toulouse
571,09-04-2023,Montpellier,? - ?,Toulouse
572,07-08-2022,Montpellier,3 - 2,Troyes
573,14-08-2022,Troyes,0 - 3,Toulouse
574,19-08-2022,Lyon,4 - 1,Troyes
575,28-08-2022,Troyes,3 - 1,Angers
576,31-08-2022,Monaco,2 - 4,Troyes
577,04-09-2022,Troyes,1 - 1,Rennes
578,09-09-2022,Lens,1 - 0,Troyes
579,18-09-2022,Clermont,1 - 3,Troyes
580,02-10-2022,Troyes,2 - 2,Reims
581,09-10-2022,Nice,3 - 2,Troyes
582,16-10-2022,Troyes,1 - 1,Ajaccio
583,23-10-2022,Troyes,2 - 2,Lorient
584,29-10-2022,Paris SG,4 - 3,Troyes
585,04-11-2022,Troyes,1 - 1,Auxerre
586,13-11-2022,Brest,2 - 1,Troyes
587,28-12-2022,Troyes,0 - 0,Nantes
588,02-01-2023,Strasbourg,2 - 3,Troyes
589,11-01-2023,Troyes,0 - 2,Marseille
590,15-01-2023,Lille,5 - 1,Troyes
591,28-01-2023,Troyes,1 - 1,Lens
592,01-02-2023,Toulouse,4 - 1,Troyes
593,04-02-2023,Troyes,1 - 3,Lyon
594,12-02-2023,Reims,4 - 0,Troyes
595,19-02-2023,Troyes,0 - 1,Montpellier
596,26-02-2023,Ajaccio,2 - 1,Troyes
597,05-03-2023,Troyes,2 - 2,Monaco
598,12-03-2023,Lorient,2 - 0,Troyes
599,19-03-2023,Troyes,2 - 2,Brest
600,01-04-2023,Auxerre,1 - 0,Troyes
601,09-04-2023,Troyes,? - ?,Clermont
