,date,home,score,away_team
126,11-09-2022,Strasbourg,0 - 0,Clermont
127,18-09-2022,Clermont,1 - 3,Troyes
128,02-10-2022,Ajaccio,1 - 3,Clermont
129,09-10-2022,Clermont,2 - 1,Auxerre
130,16-10-2022,Monaco,1 - 1,Clermont
131,23-10-2022,Clermont,1 - 3,Brest
132,30-10-2022,Nantes,1 - 1,Clermont
133,06-11-2022,Clermont,1 - 1,Montpellier
134,12-11-2022,Lens,2 - 1,Clermont
135,28-12-2022,Clermont,0 - 2,Lille
136,01-01-2023,Lyon,0 - 1,Clermont
137,11-01-2023,Clermont,2 - 1,Rennes
138,15-01-2023,Angers,1 - 2,Clermont
139,29-01-2023,Clermont,0 - 0,Nantes
140,01-02-2023,Lille,0 - 0,Clermont
141,05-02-2023,Clermont,0 - 2,Monaco
142,11-02-2023,Clermont,0 - 2,Marseille
143,19-02-2023,Rennes,2 - 0,Clermont
144,26-02-2023,Clermont,1 - 1,Strasbourg
145,05-03-2023,Toulouse,0 - 1,Clermont
146,12-03-2023,Clermont,0 - 4,Lens
147,19-03-2023,Montpellier,2 - 1,Clermont
148,02-04-2023,Clermont,2 - 1,Ajaccio
149,09-04-2023,Troyes,? - ?,Clermont
150,07-08-2022,Lens,3 - 2,Brest
151,14-08-2022,Ajaccio,0 - 0,Lens
152,20-08-2022,Monaco,1 - 4,Lens
153,27-08-2022,Lens,2 - 1,Rennes
154,31-08-2022,Lens,5 - 2,Lorient
155,04-09-2022,Reims,1 - 1,Lens
156,09-09-2022,Lens,1 - 0,Troyes
157,18-09-2022,Nantes,0 - 0,Lens
158,02-10-2022,Lens,1 - 0,Lyon
159,09-10-2022,Lille,1 - 0,Lens
160,15-10-2022,Lens,1 - 0,Montpellier
161,22-10-2022,Marseille,0 - 1,Lens
162,28-10-2022,Lens,3 - 0,Toulouse
163,05-11-2022,Angers,1 - 2,Lens
164,12-11-2022,Lens,2 - 1,Clermont
165,29-12-2022,Nice,0 - 0,Lens
166,01-01-2023,Lens,3 - 1,Paris SG
167,11-01-2023,Strasbourg,2 - 2,Lens
168,14-01-2023,Lens,1 - 0,Auxerre
169,28-01-2023,Troyes,1 - 1,Lens
170,01-02-2023,Lens,0 - 1,Nice
171,05-02-2023,Brest,1 - 1,Lens
172,12-02-2023,Lyon,2 - 1,Lens
173,19-02-2023,Lens,3 - 1,Nantes
174,25-02-2023,Montpellier,1 - 1,Lens
175,04-03-2023,Lens,1 - 1,Lille
176,12-03-2023,Clermont,0 - 4,Lens
177,18-03-2023,Lens,3 - 0,Angers
178,01-04-2023,Rennes,0 - 1,Lens
179,07-04-2023,Lens,2 - 1,Strasbourg
180,15-04-2023,Paris SG,? - ?,Lens
181,07-08-2022,Lille,4 - 1,Auxerre
182,12-08-2022,Nantes,1 - 1,Lille
183,21-08-2022,Lille,1 - 7,Paris SG
184,26-08-2022,Ajaccio,1 - 3,Lille
185,31-08-2022,Lille,1 - 2,Nice
186,04-09-2022,Montpellier,1 - 3,Lille
187,10-09-2022,Marseille,2 - 1,Lille
188,17-09-2022,Lille,2 - 1,Toulouse
189,02-10-2022,Lorient,2 - 1,Lille
190,09-10-2022,Lille,1 - 0,Lens
191,14-10-2022,Strasbourg,0 - 3,Lille
192,23-10-2022,Lille,4 - 3,Monaco
193,30-10-2022,Lyon,1 - 0,Lille
194,06-11-2022,Lille,1 - 1,Rennes
195,13-11-2022,Lille,1 - 0,Angers
196,28-12-2022,Clermont,0 - 2,Lille
197,02-01-2023,Lille,1 - 1,Reims
198,11-01-2023,Brest,0 - 0,Lille
199,15-01-2023,Lille,5 - 1,Troyes
200,29-01-2023,Nice,1 - 0,Lille
201,01-02-2023,Lille,0 - 0,Clermont
202,04-02-2023,Rennes,1 - 3,Lille
203,12-02-2023,Lille,2 - 0,Strasbourg
204,19-02-2023,Paris SG,4 - 3,Lille
205,24-02-2023,Lille,2 - 1,Brest
206,04-03-2023,Lens,1 - 1,Lille
207,10-03-2023,Lille,3 - 3,Lyon
208,18-03-2023,Toulouse,0 - 2,Lille
209,02-04-2023,Lille,3 - 1,Lorient
210,08-04-2023,Angers,1 - 0,Lille
211,07-08-2022,Rennes,0 - 1,Lorient
212,21-08-2022,Toulouse,2 - 2,Lorient
213,28-08-2022,Lorient,2 - 1,Clermont
214,31-08-2022,Lens,5 - 2,Lorient
215,04-09-2022,Ajaccio,0 - 1,Lorient
216,07-09-2022,Lorient,3 - 1,Lyon
217,11-09-2022,Lorient,3 - 2,Nantes
218,16-09-2022,Auxerre,1 - 3,Lorient
219,02-10-2022,Lorient,2 - 1,Lille
220,09-10-2022,Brest,1 - 2,Lorient
221,15-10-2022,Lorient,0 - 0,Reims
222,23-10-2022,Troyes,2 - 2,Lorient
223,30-10-2022,Lorient,1 - 2,Nice
224,06-11-2022,Lorient,1 - 2,Paris SG
225,13-11-2022,Strasbourg,1 - 1,Lorient
226,29-12-2022,Lorient,0 - 2,Montpellier
227,01-01-2023,Angers,1 - 2,Lorient
228,11-01-2023,Lorient,2 - 2,Monaco
229,14-01-2023,Marseille,3 - 1,Lorient
230,27-01-2023,Lorient,2 - 1,Rennes
231,01-02-2023,Reims,4 - 2,Lorient
232,05-02-2023,Lorient,0 - 0,Angers
233,12-02-2023,Nantes,1 - 0,Lorient
234,19-02-2023,Lorient,3 - 0,Ajaccio
235,26-02-2023,Lorient,0 - 1,Auxerre
236,05-03-2023,Lyon,0 - 0,Lorient
237,12-03-2023,Lorient,2 - 0,Troyes
238,19-03-2023,Nice,1 - 1,Lorient
239,02-04-2023,Lille,3 - 1,Lorient
240,09-04-2023,Lorient,? - ?,Marseille
241,05-08-2022,Lyon,2 - 1,Ajaccio
242,19-08-2022,Lyon,4 - 1,Troyes
243,28-08-2022,Reims,1 - 1,Lyon
244,31-08-2022,Lyon,2 - 1,Auxerre
245,03-09-2022,Lyon,5 - 0,Angers
246,07-09-2022,Lorient,3 - 1,Lyon
247,11-09-2022,Monaco,2 - 1,Lyon
248,18-09-2022,Lyon,0 - 1,Paris SG
249,02-10-2022,Lens,1 - 0,Lyon
250,07-10-2022,Lyon,1 - 1,Toulouse
251,16-10-2022,Rennes,3 - 2,Lyon
252,22-10-2022,Montpellier,1 - 2,Lyon
253,30-10-2022,Lyon,1 - 0,Lille
254,06-11-2022,Marseille,1 - 0,Lyon
255,11-11-2022,Lyon,1 - 1,Nice
256,28-12-2022,Brest,2 - 4,Lyon
257,01-01-2023,Lyon,0 - 1,Clermont
258,11-01-2023,Nantes,0 - 0,Lyon
259,14-01-2023,Lyon,1 - 2,Strasbourg
